StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q4_1_1,Q4_1_2,Q4_1_3,Q4_1_4,Q4_1_5,Q4_2_1,Q4_2_2,Q4_2_3,Q4_2_4,Q4_2_5,Q4_3_1,Q4_3_2,Q4_3_3,Q4_3_4,Q4_3_5,Q4_4_1,Q4_4_2,Q4_4_3,Q4_4_4,Q4_4_5,Q4_5_1,Q4_5_2,Q4_5_3,Q4_5_4,Q4_5_5,Q4_6_1,Q4_6_2,Q4_6_3,Q4_6_4,Q4_6_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11
4/8/2022 17:31,4/8/2022 17:38,0,190.106.10.114,100,404,1,4/8/2022 17:38,R_3MyuJaCJlcDgAnH,,,,,12.1518,-86.2711,qr,ES,1,,1,1,1,1,,1,1,1,,,,,1,,,1,,,,,1,,,,,,,1,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,1,1,,,,,1,,,1,,1,
4/8/2022 17:29,4/8/2022 17:39,0,186.77.132.246,100,637,1,4/8/2022 17:39,R_UMATQtfpssG0hHP,,,,,12.1518,-86.2711,qr,ES,,,,1,,,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,1,,,,4,
4/8/2022 17:34,4/8/2022 17:39,0,152.231.33.121,100,319,1,4/8/2022 17:39,R_3mkpJJHwpgtaidC,,,,,12.1518,-86.2711,qr,ES,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,1,,,1,,,,,1,,,,,,,1,,,,,1,,1,1,,,1,1,1,1,,,1,1,,,1,1,1,1,,,1,,,1,,3,
4/8/2022 17:34,4/8/2022 17:40,0,190.106.10.114,100,375,1,4/8/2022 17:40,R_3k5MKOcXBGM9vsH,,,,,12.1518,-86.2711,qr,ES,,,1,1,1,,1,1,,1,,,,,,,,,,,1,,,,1,,,,,1,,,1,,,,,1,,,,,,,,1,,,,,1,,1,,,1,,,,,,,,,,1,,1,,,,1,,,1,,4,
4/8/2022 17:32,4/8/2022 17:40,0,190.106.10.114,100,494,1,4/8/2022 17:40,R_3gOgSjakygW9OCB,,,,,12.1518,-86.2711,qr,ES,1,,,1,1,,1,,1,1,,,,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,,,,,1,,,1,1,,,,,1,,,1,,3,
4/8/2022 17:28,4/8/2022 17:42,0,152.231.32.134,100,831,1,4/8/2022 17:42,R_2a8IY22wmOoRuwB,,,,,12.1518,-86.2711,qr,ES,,,1,1,,,,1,1,,,,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,1,,,,,,
4/8/2022 17:30,4/8/2022 17:42,0,186.77.136.81,100,746,1,4/8/2022 17:42,R_2Slc9ecW5SyYxWc,,,,,12.1518,-86.2711,qr,ES,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,,,1,,,,,,1,,,1,,,1,,,,,,,,,1,,,,,1,,,,,1,1,1,1,,,,,,,1,1,1,1,,,1,,1,,,3,
4/8/2022 17:31,4/8/2022 17:43,0,152.231.35.207,100,700,1,4/8/2022 17:43,R_0GU9Zyys34E3QNH,,,,,12.1518,-86.2711,qr,ES,,,1,,1,1,1,1,1,,,,,,,1,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,1,,,1,,5,
4/8/2022 17:38,4/8/2022 17:44,0,152.231.35.74,100,358,1,4/8/2022 17:44,R_29tsfFiRj7nEyKw,,,,,12.1518,-86.2711,qr,ES,,,1,1,,1,1,1,,1,,,,,1,1,,,,,,,,1,,,,,,1,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,1,1,,,,,,,,,1,1,,,,,1,1,,,,4,4012901981002a
4/8/2022 17:42,4/8/2022 17:44,0,186.77.136.165,100,129,1,4/8/2022 17:44,R_26ewv3HwncTI0Oh,,,,,12.1518,-86.2711,qr,ES,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,1,,,1,,,,,1,,,,,,,1,,,,,,1,1,1,,,1,1,1,1,,,1,1,,,1,1,1,1,,,1,,1,,,3,
4/8/2022 17:35,4/8/2022 17:45,0,152.231.35.224,100,557,1,4/8/2022 17:45,R_DxhiEv7GhPy6MVz,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,1,1,1,,,,,,,1,1,1,1,,,1,,,,,2,Tania
4/8/2022 17:41,4/8/2022 17:47,0,190.106.10.114,100,363,1,4/8/2022 17:47,R_30k3ehYgbttLq2O,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,1,,,,,1,,,1,,,,,,1,,,1,,1,
4/8/2022 17:40,4/8/2022 17:48,0,152.231.33.121,100,439,1,4/8/2022 17:48,R_2wvEtJBrDdTvJXB,,,,,12.1518,-86.2711,qr,ES,,1,,,1,,,1,,1,,,1,,,,,,1,,,,,,,1,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,1,,,1,,5,
4/8/2022 17:39,4/8/2022 17:48,0,190.106.10.114,100,534,1,4/8/2022 17:48,R_eJzN31CVoU3e0hz,,,,,12.1518,-86.2711,qr,ES,,,,1,1,,1,1,,1,,,,,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,1,,,,1,1,,,1,1,1,,,,1,,,1,,4,
4/8/2022 17:40,4/8/2022 17:49,0,190.106.10.114,100,533,1,4/8/2022 17:49,R_esN9bmsZCPvlCBb,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,,,,,1,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,1,1,1,,,,1,1,,,1,1,1,1,,,1,,,1,,3,
4/8/2022 17:30,4/8/2022 17:50,0,186.77.136.73,100,1215,1,4/8/2022 17:50,R_puS3AoyQ6wqxpx7,,,,,12.1518,-86.2711,qr,ES,,,1,1,1,1,1,1,,1,,,,,1,,,,,,,,,,1,,,,,,1,,,,1,,,1,,,,,,,,1,,,,1,,,,,,1,1,1,,,,,,,,1,1,1,,,,1,,,1,,5,
4/8/2022 17:35,4/8/2022 17:51,0,186.77.132.53,100,947,1,4/8/2022 17:51,R_1oA5LAw2gUNhcwm,,,,,12.1518,-86.2711,qr,ES,,,1,1,1,1,1,1,,1,,,,1,1,,,,,,,,,,,1,,,,1,,,,,1,,,1,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,,1,,,,,,1,1,,,,5,
4/8/2022 17:42,4/8/2022 17:51,0,186.77.132.248,100,509,1,4/8/2022 17:51,R_RJHyjtTfhTGB5FD,,,,,12.1518,-86.2711,qr,ES,,,,,,,,1,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,1,,,1,,5,
4/8/2022 17:46,4/8/2022 17:56,0,190.106.10.114,100,573,1,4/8/2022 17:56,R_0w6MbTB9x9xjFQJ,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,1,,,,1,1,1,1,,,1,,,,1,1,1,1,,,1,,,,,5,
4/8/2022 22:43,4/8/2022 22:49,0,152.231.35.85,100,390,1,4/8/2022 22:49,R_232i4R9pgwcIYrQ,,,,,12.15179443,-86.27110291,qr,ES,1,,1,,,,,1,1,1,,,1,,1,,,,,1,,,,,,1,,,,,1,,,,1,,,1,,,,,,,,1,,,,,1,,,,,1,1,,1,,,,,,,1,1,1,1,,,1,,,1,,6,
4/21/2022 0:45,4/21/2022 0:49,0,186.77.136.194,100,230,1,4/21/2022 0:49,R_3rTJr7O3ZDkgmDA,,,,,12.1518,-86.2711,qr,ES,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,1,,,1,,,,1,,,,,1,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,,,1,,4,
5/14/2022 17:01,5/14/2022 17:08,0,190.106.10.114,100,441,1,5/14/2022 17:08,R_2fvcQJ2v32ViNWO,,,,,12.1518,-86.2711,anonymous,ES,1,,1,,1,1,1,1,,1,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,2,,,1,,2,
5/14/2022 17:07,5/14/2022 17:10,0,186.77.132.86,100,179,1,5/14/2022 17:10,R_VL6R9s1Obi9uD3b,,,,,12.1518,-86.2711,qr,ES,,,1,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,1,,,,5,
