StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q4_1_1,Q4_1_2,Q4_1_3,Q4_1_4,Q4_1_5,Q4_2_1,Q4_2_2,Q4_2_3,Q4_2_4,Q4_2_5,Q4_3_1,Q4_3_2,Q4_3_3,Q4_3_4,Q4_3_5,Q4_4_1,Q4_4_2,Q4_4_3,Q4_4_4,Q4_4_5,Q4_5_1,Q4_5_2,Q4_5_3,Q4_5_4,Q4_5_5,Q4_6_1,Q4_6_2,Q4_6_3,Q4_6_4,Q4_6_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11
2021-11-30 16:21:53,2021-11-30 16:35:19,0,152.231.34.201,100,805,1,2021-11-30 16:35:19,R_Ajj0iv6xYOO8CvT,,,,,12.15179443359375,-86.2711029052734375,qr,ES,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1,,,,,1,,,,,,1,,1,,,,,1,,,,,,,,1,,,,,1,,,,,1,1,1,1,,,,,,,1,1,1,1,,,2,,1,,,3,
2021-11-30 16:27:19,2021-11-30 16:36:46,0,186.77.136.214,100,567,1,2021-11-30 16:36:47,R_2dFshHpDwmMu1y6,,,,,12.15179443359375,-86.2711029052734375,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,1,,1,,,,1,,,,,,1,,,,,1,,,,1,,,,,1,,,,,1,,,,1,1,1,,,,,,,,1,1,1,1,,,2,,,1,,3,
2021-11-30 16:22:35,2021-11-30 16:39:00,0,186.77.136.98,100,985,1,2021-11-30 16:39:00,R_3OjjLOteLsbFIOd,,,,,13.0814056396484375,-86.342498779296875,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,1,,,1,1,1,1,,,,1,,,,1,1,1,,,2,,,1,,6,
2021-11-30 16:27:05,2021-11-30 16:39:27,0,186.77.136.144,100,742,1,2021-11-30 16:39:28,R_1mfRX32hAH8Hhhy,,,,,12.15179443359375,-86.2711029052734375,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,,,,,,,1,1,,,,,1,,,,,,,,1,,,,,1,,,,,,1,1,1,1,,,,,,,1,1,1,1,,,2,,,1,,6,
2021-11-30 16:24:02,2021-11-30 16:44:57,0,186.77.133.34,90,1254,0,2021-12-07 16:44:57,R_1KpYJRHb4szrW2N,,,,,,,qr,ES,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1,,,1,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,,1,,1,,,1,1,1,1,,,,1,,,1,1,1,1,,,2,,1,,,6,
2022-04-21 00:40:07,2022-04-21 00:45:59,0,152.231.33.29,100,352,1,2022-04-21 00:46:00,R_27ILCVgVqaXzwFz,,,,,12.1518,-86.2711,qr,ES,1,,1,,,,,,,1,,,1,,,1,1,,1,,,,,1,,,,,,1,,,1,,,,,1,,,,,,,,1,,,,1,,,,,,1,,1,,,,1,,,,1,,1,,,,1,,,,1,2,
2022-04-21 00:39:32,2022-04-21 00:46:07,0,104.28.94.116,100,394,1,2022-04-21 00:46:07,R_1Qo6w7yORYd2OAX,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,1,,,,,,1,,,1,,,,1,,,,,,,,1,,,,,1,1,,,,1,1,1,1,,,1,1,,,1,1,1,1,,,1,,,,1,2,
2022-04-21 00:40:03,2022-04-21 00:46:53,0,190.106.10.114,100,409,1,2022-04-21 00:46:53,R_2e5nOkKz0orZyhI,,,,,12.1518,-86.2711,qr,ES,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,1,,,1,,1,
2022-04-21 00:41:10,2022-04-21 00:47:00,0,152.231.35.157,100,349,1,2022-04-21 00:47:01,R_2V90jjbc70kMKDu,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,,,,,,,,1,,1,,,,,1,,,,,,,1,,,,,,1,1,,,,1,,1,1,,,1,1,,,1,,1,1,,,,,,,,,
2022-04-21 00:44:14,2022-04-21 00:47:54,0,186.77.136.104,100,220,1,2022-04-21 00:47:54,R_2EuccC1q6glCXyW,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,1,,,,,1,,,,,1,,1,,,,1,,,,,,,,,1,,,,,1,1,,,,1,,1,1,,,1,1,,,1,1,,1,,,1,,,1,,5,0010909880026V
2022-04-21 00:43:15,2022-04-21 00:48:15,0,190.106.10.114,100,299,1,2022-04-21 00:48:15,R_1nTRTNUcinJhaH3,,,,,12.1518,-86.2711,qr,ES,1,,1,1,,1,1,1,1,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,,,1,,,1,,2,
2022-04-21 00:39:39,2022-04-21 00:48:23,0,152.231.33.3,100,523,1,2022-04-21 00:48:23,R_A6RHt46bWrqMu9r,,,,,12.1518,-86.2711,qr,ES,1,,,,,1,,1,,1,,,,1,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,1,,,,,,,,,1,,1,,,,1,1,,,,6,
2022-04-21 00:44:23,2022-04-21 00:48:34,0,190.106.10.114,100,251,1,2022-04-21 00:48:34,R_1gb9in4JatfoPLz,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,1,,1,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,1,,,1,,1,,,,,1,,,1,1,1,1,,,1,,,1,,4,
2022-04-21 00:42:26,2022-04-21 00:49:10,0,190.106.10.114,100,403,1,2022-04-21 00:49:11,R_5tHQMfDhYPS7Qqt,,,,,12.1518,-86.2711,qr,ES,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,1,1,,,,,3,,,1,,6,
2022-04-21 00:43:34,2022-04-21 00:49:12,0,190.106.10.114,100,337,1,2022-04-21 00:49:12,R_01D3ao0EpzZ5LGh,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,1,,,,,,,,1,1,,,,,,1,,,,,,,,1,,,,,1,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,,1,4,
2022-04-21 00:43:35,2022-04-21 00:49:54,0,186.77.136.111,100,378,1,2022-04-21 00:49:55,R_3J4MhGfGIaZxFX7,,,,,12.1518,-86.2711,qr,ES,1,,1,1,1,1,1,1,,1,,,1,1,1,,,,,,1,,,,,1,,,,,1,1,,,,,1,,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,,1,1,,1,,,1,1,,,,5,
2022-04-21 00:44:56,2022-04-21 00:51:09,0,190.106.10.114,100,373,1,2022-04-21 00:51:10,R_1doRpMB0vBnoGw3,,,,,12.1518,-86.2711,qr,ES,1,,1,1,1,1,1,,1,1,,,1,1,,,1,,1,,1,,,,,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,1,1,,,,1,1,1,1,,,1,,,,1,1,1,,,,1,,,1,,3,
2022-04-21 00:43:49,2022-04-21 00:51:40,0,186.77.136.211,100,471,1,2022-04-21 00:51:40,R_2tbV6iMQcwgmn7n,,,,,12.1518,-86.2711,qr,ES,1,,1,1,1,,1,1,,1,,,1,,1,,,1,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,1,,,1,1,1,,,,,1,,,1,,,,,,1,1,,,,5,
2022-04-21 00:44:21,2022-04-21 00:52:09,0,152.231.35.126,100,468,1,2022-04-21 00:52:10,R_2P814glD1cnwkVa,,,,,12.1518,-86.2711,qr,ES,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,,,,,1,,,,,1,1,,,,,1,,,,,,,,,1,,,,,1,,1,,,1,,1,1,,,,1,,,1,,1,1,,,1,,,,1,5,0010905890015C
2022-04-21 00:44:46,2022-04-21 00:52:31,0,152.231.33.27,100,464,1,2022-04-21 00:52:31,R_3nSGBemKXcMrw5K,,,,,12.1518,-86.2711,qr,ES,,,1,1,1,1,1,1,1,1,,,,1,,1,1,,1,,,,,,1,,,,,,,,,,1,,,1,,,,,,,1,,,,,1,,1,1,,,1,,1,,,,1,1,,,1,,1,,,,1,,,1,,5,043_230484_0000S
2022-04-21 00:48:48,2022-04-21 00:52:53,0,190.106.10.114,100,244,1,2022-04-21 00:52:53,R_AsQCCP8B4D3S957,,,,,12.1518,-86.2711,qr,ES,1,1,1,,1,1,1,,1,1,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
